"PetrolPrice","time"
0.102971811805368,"January 1969"
0.102362995884646,"February 1969"
0.102062490635914,"March 1969"
0.100873300511862,"April 1969"
0.101019672891934,"May 1969"
0.10058119170287,"June 1969"
0.103773981457839,"July 1969"
0.104076403554621,"August 1969"
0.103773981457839,"September 1969"
0.103026401330572,"October 1969"
0.102730112155946,"November 1969"
0.101997191539847,"December 1969"
0.101274563494893,"January 1970"
0.10070397563972,"February 1970"
0.100139606658898,"March 1970"
0.0986211043713023,"April 1970"
0.0983492854059603,"May 1970"
0.0980801772105387,"June 1970"
0.0972792082183714,"July 1970"
0.0974106238350488,"August 1970"
0.0974252365245483,"September 1970"
0.0963806330037465,"October 1970"
0.0957389559626943,"November 1970"
0.0951063062359475,"December 1970"
0.0967359671470176,"January 1971"
0.0961092224873678,"February 1971"
0.095367254851379,"March 1971"
0.0947095915871269,"April 1971"
0.0941176202174608,"May 1971"
0.0935321548190638,"June 1971"
0.0929540494377308,"July 1971"
0.0928397862431927,"August 1971"
0.0927247362539862,"September 1971"
0.0922696509793897,"October 1971"
0.0917066851479679,"November 1971"
0.0912620719433678,"December 1971"
0.090711603254936,"January 1972"
0.090276328119195,"February 1972"
0.0899519176272147,"March 1972"
0.0890996386561615,"April 1972"
0.0886791925043499,"May 1972"
0.0881592888670634,"June 1972"
0.0889020568552906,"July 1972"
0.0881813314444876,"August 1972"
0.0889402929599117,"September 1972"
0.0877266104275971,"October 1972"
0.087428846437772,"November 1972"
0.0870354301608856,"December 1972"
0.0864499193294655,"January 1973"
0.0858726409121568,"February 1973"
0.0853982218357345,"March 1973"
0.083821981233605,"April 1973"
0.0845907801489325,"May 1973"
0.0841369037739444,"June 1973"
0.0837784051341314,"July 1973"
0.0835107427259604,"August 1973"
0.0828063938633846,"September 1973"
0.0811788933269884,"October 1973"
0.0828536069623417,"November 1973"
0.0941901186933595,"December 1973"
0.0923998429510411,"January 1974"
0.108161478199019,"February 1974"
0.10721168869023,"March 1974"
0.114042966782082,"April 1974"
0.112454115810183,"May 1974"
0.111316253290611,"June 1974"
0.11030125221242,"July 1974"
0.108197177376865,"August 1974"
0.107027443082328,"September 1974"
0.104946980916917,"October 1974"
0.119357749193208,"November 1974"
0.117621904277373,"December 1974"
0.133027420877451,"January 1975"
0.130845243689729,"February 1975"
0.128318477474772,"March 1975"
0.123547448292297,"April 1975"
0.118586811514179,"May 1975"
0.116337480161004,"June 1975"
0.11516147558196,"July 1975"
0.114501197216867,"August 1975"
0.113522979499817,"September 1975"
0.111930179432996,"October 1975"
0.110610528503361,"November 1975"
0.11527438914664,"December 1975"
0.113793485966034,"January 1976"
0.112349582098189,"February 1976"
0.111753469387189,"March 1976"
0.109642522576533,"April 1976"
0.10844089510559,"May 1976"
0.107884938936114,"June 1976"
0.109084769191454,"July 1976"
0.107571450111271,"August 1976"
0.106164022368002,"September 1976"
0.106299999323319,"October 1976"
0.104825313000088,"November 1976"
0.103451745711815,"December 1976"
0.101449920129493,"January 1977"
0.100402316427863,"February 1977"
0.098862033680192,"March 1977"
0.102496154313521,"April 1977"
0.103027431599736,"May 1977"
0.102178908220655,"June 1977"
0.0998366428726473,"July 1977"
0.0926366895833353,"August 1977"
0.0918149629077569,"September 1977"
0.090724303768407,"October 1977"
0.0900212072768793,"November 1977"
0.0893307058230937,"December 1977"
0.0884427348717763,"January 1978"
0.0883525692744791,"February 1978"
0.0867573619308237,"March 1978"
0.0849952420449752,"April 1978"
0.0845679437213488,"May 1978"
0.0844318988774436,"June 1978"
0.0843508831482932,"July 1978"
0.0836009830491076,"August 1978"
0.0834172630524962,"September 1978"
0.0827451397987249,"October 1978"
0.0852352669035281,"November 1978"
0.0847703028296526,"December 1978"
0.0844589214084587,"January 1979"
0.085352119244763,"February 1979"
0.0875592125175749,"March 1979"
0.0903829170614837,"April 1979"
0.0907832937355188,"May 1979"
0.108742780219868,"June 1979"
0.114142227335262,"July 1979"
0.112992933231466,"August 1979"
0.111320706029796,"September 1979"
0.109126229280665,"October 1979"
0.107698459343112,"November 1979"
0.107601574334496,"December 1979"
0.103775019202843,"January 1980"
0.107114170431059,"February 1980"
0.107374774370757,"March 1980"
0.111695372689559,"April 1980"
0.110638184592354,"May 1980"
0.111855211329895,"June 1980"
0.109742342683337,"July 1980"
0.108193931510232,"August 1980"
0.106255362697951,"September 1980"
0.104193034427699,"October 1980"
0.101933972880902,"November 1980"
0.102793824574291,"December 1980"
0.10476034144929,"January 1981"
0.104002535534347,"February 1981"
0.116655515402424,"March 1981"
0.11516147558196,"April 1981"
0.112989543494316,"May 1981"
0.113860643932406,"June 1981"
0.119118081064489,"July 1981"
0.124489986005886,"August 1981"
0.123222945411622,"September 1981"
0.12067793212866,"October 1981"
0.121048982651421,"November 1981"
0.116968571491487,"December 1981"
0.112750259392875,"January 1982"
0.108079306704711,"February 1982"
0.108838515984019,"March 1982"
0.111291766408542,"April 1982"
0.111304009176187,"May 1982"
0.115454357532553,"June 1982"
0.114768296055692,"July 1982"
0.117207430931122,"August 1982"
0.119076397031248,"September 1982"
0.117965862171995,"October 1982"
0.117449127100423,"November 1982"
0.116988457838933,"December 1982"
0.11261053571781,"January 1983"
0.113657015681422,"February 1983"
0.113144445252379,"March 1983"
0.118495534815352,"April 1983"
0.117969401200945,"May 1983"
0.1176866141183,"June 1983"
0.120059238961094,"July 1983"
0.119437745680998,"August 1983"
0.118881271786551,"September 1983"
0.118462360710195,"October 1983"
0.118016598400236,"November 1983"
0.117706622543368,"December 1983"
0.117776089941536,"January 1984"
0.114796991716514,"February 1984"
0.11573525277085,"March 1984"
0.115356263024722,"April 1984"
0.114815360704668,"May 1984"
0.114777477886645,"June 1984"
0.114935980147534,"July 1984"
0.114796991716514,"August 1984"
0.114093156728444,"September 1984"
0.116465521799171,"October 1984"
0.116026113132354,"November 1984"
0.116066729379379,"December 1984"
